id,name,description,createdAt,updatedAt
"1","Laptop","","Tue Feb 03 2026 12:26:48 GMT+0530 (India Standard Time)","Tue Feb 03 2026 12:26:48 GMT+0530 (India Standard Time)"
"2","Desktop","","Tue Feb 03 2026 12:26:55 GMT+0530 (India Standard Time)","Tue Feb 03 2026 12:26:55 GMT+0530 (India Standard Time)"
"3","Printer","","Tue Feb 03 2026 12:27:03 GMT+0530 (India Standard Time)","Tue Feb 03 2026 12:27:03 GMT+0530 (India Standard Time)"
"4","Access Points","","Tue Feb 03 2026 12:27:12 GMT+0530 (India Standard Time)","Tue Feb 03 2026 12:27:12 GMT+0530 (India Standard Time)"
"5","Switch","","Tue Feb 03 2026 12:27:29 GMT+0530 (India Standard Time)","Tue Feb 03 2026 12:27:29 GMT+0530 (India Standard Time)"
"6","Mouse","","Mon Feb 09 2026 10:12:12 GMT+0530 (India Standard Time)","Mon Feb 09 2026 10:12:12 GMT+0530 (India Standard Time)"
"7","Test","","Fri Feb 13 2026 12:33:43 GMT+0530 (India Standard Time)","Fri Feb 13 2026 12:33:43 GMT+0530 (India Standard Time)"
